Customer_ID,Industry,Region,Invoice_Amount,Invoice_Date,Due_Date,Payment_Date,Days_Past_Due,Payment_Status
CUST0001,Healthcare,North America,4076.98,2023-03-13,2023-04-12,2023-04-22,10,Late
CUST0002,IT Services,Asia,2449.51,2023-03-29,2023-04-28,2023-05-08,10,Late
CUST0003,Retail,Europe,1600.03,2023-12-10,2024-01-24,2024-01-24,0,On-Time
CUST0004,Healthcare,North America,12540.89,2023-11-10,2023-12-25,2023-12-25,0,On-Time
CUST0005,Manufacturing,North America,10733.11,2023-06-19,2023-08-18,2023-08-23,5,Late
CUST0006,Retail,Middle East,10527.57,2023-11-16,2023-12-16,2023-12-16,0,On-Time
CUST0007,Retail,Asia,3825.22,2023-06-16,2023-07-31,2023-08-30,30,Late
CUST0008,Healthcare,Europe,16263.75,2023-09-22,2023-11-06,2023-11-06,0,On-Time
CUST0009,Healthcare,Middle East,9082.97,2023-09-21,2023-11-20,2023-11-20,0,On-Time
CUST0010,Manufacturing,Middle East,4053.6,2023-01-02,2023-02-16,2023-02-21,5,Late
CUST0011,IT Services,Middle East,4104.66,2023-07-10,2023-08-24,2023-09-13,20,Late
CUST0012,IT Services,Europe,17949.13,2023-09-27,2023-11-26,2023-12-26,30,Late
CUST0013,Healthcare,North America,19242.85,2023-08-01,2023-08-31,2023-08-31,0,On-Time
CUST0014,Finance,Middle East,7456.69,2023-09-09,2023-10-09,2023-10-09,0,On-Time
CUST0015,Finance,North America,804.91,2023-01-09,2023-02-08,2023-02-08,0,On-Time
CUST0016,Retail,Asia,14283.72,2023-06-12,2023-08-11,2023-08-31,20,Late
CUST0017,Finance,Europe,7490.08,2023-02-10,2023-04-11,2023-04-10,-1,On-Time
CUST0018,Healthcare,Europe,2360.5,2023-03-03,2023-04-02,2023-04-22,20,Late
CUST0019,Retail,Asia,9708.19,2023-04-11,2023-06-10,2023-06-30,20,Late
CUST0020,Manufacturing,North America,11444.91,2023-09-12,2023-10-27,2023-11-01,5,Late
CUST0021,Manufacturing,Asia,8837.05,2023-02-11,2023-03-13,2023-03-13,0,On-Time
CUST0022,Manufacturing,Middle East,11483.87,2023-08-10,2023-09-09,2023-09-09,0,On-Time
CUST0023,Finance,Asia,15233.25,2023-02-05,2023-03-07,2023-03-07,0,On-Time
CUST0024,Retail,Asia,3643.82,2023-03-07,2023-04-21,2023-04-18,-3,On-Time
CUST0025,Manufacturing,North America,17493.48,2023-01-28,2023-03-14,2023-03-13,-1,On-Time
CUST0026,IT Services,Asia,17973.78,2023-08-19,2023-10-03,2023-10-03,0,On-Time
CUST0027,Manufacturing,Asia,8828.6,2023-04-26,2023-05-26,2023-05-25,-1,On-Time
CUST0028,Retail,North America,9954.18,2023-08-13,2023-10-12,2023-10-12,0,On-Time
CUST0029,Retail,Europe,4765.9,2023-08-21,2023-09-20,2023-09-20,0,On-Time
CUST0030,IT Services,Middle East,5314.08,2023-10-22,2023-12-06,2023-12-26,20,Late
CUST0031,Finance,North America,19955.94,2023-07-06,2023-08-05,2023-09-19,45,Late
CUST0032,Healthcare,Europe,1144.49,2023-08-12,2023-09-11,2023-09-21,10,Late
CUST0033,IT Services,North America,10044.33,2023-06-09,2023-07-24,2023-07-24,0,On-Time
CUST0034,Healthcare,Asia,15351.58,2023-05-03,2023-06-02,2023-06-22,20,Late
CUST0035,Finance,Middle East,19676.75,2023-08-28,2023-09-27,2023-09-27,0,On-Time
CUST0036,Retail,Europe,14068.35,2023-09-16,2023-11-15,2023-11-15,0,On-Time
CUST0037,IT Services,Asia,16285.27,2023-05-28,2023-07-27,2023-07-27,0,On-Time
CUST0038,Manufacturing,Middle East,8041.34,2023-12-04,2024-01-03,2024-01-13,10,Late
CUST0039,Manufacturing,North America,4576.9,2023-10-25,2023-12-24,2023-12-24,0,On-Time
CUST0040,IT Services,Middle East,11326.42,2023-03-01,2023-03-31,2023-03-31,0,On-Time
CUST0041,Healthcare,North America,18058.15,2023-01-09,2023-02-08,2023-02-08,0,On-Time
CUST0042,Retail,Middle East,17798.19,2023-04-30,2023-05-30,2023-06-09,10,Late
CUST0043,Retail,North America,3651.76,2023-04-14,2023-05-29,2023-05-29,0,On-Time
CUST0044,Manufacturing,Asia,19486.44,2023-12-04,2024-01-18,2024-01-28,10,Late
CUST0045,Finance,North America,3930.54,2023-03-09,2023-04-08,2023-04-13,5,Late
CUST0046,Healthcare,Middle East,13167.84,2023-05-15,2023-07-14,2023-07-24,10,Late
